,Bruno Silva,Victor Krebs,Ico,Menegoto,David Rosa,Conan,Rodrigo Almeida,João Gil,Longa,Davi,Roberto,Matheus,Pedrinho,Cristófer,Lucas,João Vitor
Bruno Silva,,,,,,,,,,,,,,,,
Victor Krebs,7-5; 6-2,,,,,,,,,,,,,,,
Ico,6-0; 6-1,6-2; 6-2,,,,,,,,,,,,,,
Menegoto,2-6; 3-6,,,,,,,,,,,,,,,
David Rosa,,,,,,,,,,,,,,,,
Conan,,,,,,,,,,,,,,,,
Rodrigo Almeida,,,,,,,,,,,,,,,,
João Gil,,,,,,,,,,,,,,,,
Longa,,,,,,,,2-6; 3-6,,,,,,,,
Davi,,,,,,,4-6; 6-4; 11-9,6-3; 3-6; 7-10,6-4; 6-0,,,,,,,
Roberto,,,,,,,6-1; 6-3,3-6; 6-1; 10-8,6-3; 6-1,,,,,,,
Matheus,,,,,6-0; 6-0,,6-3; 6-2,4-6; 6-0; 10-8,,,,,,,,
Pedrinho,,,,6-2; 6-0,6-1; 6-2,6-3; 6-7; 4-10,6-2; 6-4,,,,,,,,,
Cristófer,,,1-6; 2-6,6-1; 7-5,6-0; 6-0,5-7; 3-6,,,,,,,,,,
Lucas,,4-6; 3-6,5-7; 5-7,6-3; 6-3,,,,,,,,,,,,
João Vitor,3-6; 7-5; 4-10,4-6; 2-6,,,,,,,4-6; 4-6,0-6; 1-6,,,,,,
